fid;Fatalidade;Data;Dia;Jurisdicao;RA;Via-Av.;Endereco;Natureza;Vit. Falta;Vit. Ferido;Veiculo;Ano;latitude;longitude
3632;NÃO;17/07/2019;4-QUA;VIA URBANA;BRASÍLIA;VIA DO PARQUE DA CIDADE;VIA DO PARQUE DA CIDADE, PRÓX. AO ESTACIONAMENTO 12;COLISÃO;-;1;CAMINHONETA x BICICLETA;2019;-15.792.456;-47.896.588
3990;NÃO;16/07/2019;3-TER;VIA URBANA;BRASÍLIA;VIA DO PARQUE DA CIDADE;VIA DO PARQUE DA CIDADE, SRPS, PRÓX. AO PAVILHÃO DE EXPOSIÇÕES;COLISÃO;-;1;BICICLETA x AUTOMÓVEL;2019;-15.795.415;-47.910.087
5129;NÃO;03/10/2017;3-TER;VIA URBANA;BRASÍLIA;VIA DO PARQUE DA CIDADE;VIA DO PARQUE DA CIDADE, PRÓX. AO ESTACIONAMENTO 10 E À ACADEMIA UNIQUE;COLISÃO;-;1;CAMINHONETA x BICICLETA;2017;-15.803.819;-47.905.642
5189;NÃO;07/08/2018;3-TER;VIA URBANA;BRASÍLIA;VIA DO PARQUE DA CIDADE;VIA DO PARQUE DA CIDADE, PRÓX. AO GIBÃO;COLISÃO;-;1;BICICLETA x CAMINHONETA;2018;-15.804.182;-47.920.026
5451;NÃO;16/12/2018;1-DOM;VIA URBANA;BRASÍLIA;VIA DO PARQUE DA CIDADE;VIA DO PARQUE DA CIDADE, PRÓX. AO ALPINOS;COLISÃO;-;1;CAMINHONETA x BICICLETA;2018;-15.806.083;-47.924.813
5570;NÃO;05/08/2019;2-SEG;VIA URBANA;BRASÍLIA;VIA DO PARQUE DA CIDADE;VIA DO PARQUE DA CIDADE;CHOQ OBJ FIXO;-;1;BICICLETA;2019;-15.806.881;-47.927.778
5833;NÃO;18/06/2019;3-TER;VIA URBANA;BRASÍLIA;VIA DO PARQUE DA CIDADE;VIA DO PARQUE DA CIDADE, SPO, CONJ. A, LT 23, PRÓX. À PCDF, SENT. SUDOESTE;COLISÃO;-;1;BICICLETA x AUTOMÓVEL;2019;-15.808.539;-47.927.379
6240;NÃO;22/03/2019;6-SEX;VIA URBANA;BRASÍLIA;VIA DO PARQUE DA CIDADE;VIA DO PARQUE DA CIDADE, SGAS 910/911, BALÃO;COLISÃO;-;1;CAMINHONETA x BICICLETA;2019;-15.811.441;-47.915.889
